Date,Adj Close,Close,High,Low,Open,Volume,gap_days
2024-04-10,59091.7265625,66800.0,67300.0,66800.0,67100.0,4464100,1.0
2024-04-11,58914.8046875,66600.0,66900.0,66500.0,66700.0,2947700,1.0
2024-04-12,59003.265625,66700.0,67100.0,66600.0,66800.0,2509200,1.0
2024-04-15,57410.97265625,64900.0,66700.0,64900.0,66700.0,5776100,3.0
2024-04-16,56614.828125,64000.0,65000.0,63000.0,64900.0,7128700,1.0
2024-04-17,56791.75,64200.0,64900.0,64200.0,64400.0,5144500,1.0
2024-04-19,56791.75,64200.0,64400.0,63300.0,64200.0,4677100,2.0
2024-04-22,56614.828125,64000.0,65300.0,64000.0,64700.0,2035200,3.0
2024-04-23,56172.5234375,63500.0,64300.0,63200.0,64200.0,2139400,1.0
2024-04-24,56614.828125,64000.0,64300.0,63500.0,64000.0,2478300,1.0
2024-04-25,57234.0546875,64700.0,64800.0,63900.0,64000.0,2006000,1.0
2024-04-26,57499.43359375,65000.0,65800.0,64500.0,64700.0,2940600,1.0
2024-05-02,57853.2734375,65400.0,65500.0,64900.0,65400.0,2563400,6.0
2024-05-03,58030.19921875,65600.0,66000.0,65500.0,65600.0,2204400,1.0
2024-05-06,58207.12109375,65800.0,66400.0,65500.0,65800.0,2261300,3.0
2024-05-07,60153.25,68000.0,68500.0,65900.0,66000.0,8723900,1.0
2024-05-08,60064.796875,67900.0,68000.0,67100.0,68000.0,2984400,1.0
2024-05-09,58914.8046875,66600.0,67900.0,66600.0,67900.0,2998000,1.0
2024-05-10,58826.34765625,66500.0,67500.0,66100.0,66700.0,2438800,1.0
2024-05-13,58207.12109375,65800.0,66800.0,65400.0,66600.0,2882500,3.0
2024-05-14,58826.34765625,66500.0,67000.0,65900.0,65900.0,2704800,1.0
2024-05-15,59268.6484375,67000.0,67300.0,66700.0,66900.0,3895400,1.0
2024-05-16,59445.56640625,67200.0,67700.0,67000.0,67100.0,3153300,1.0
2024-05-17,59268.6484375,67000.0,67800.0,66800.0,67300.0,4349200,1.0
2024-05-20,58737.8828125,66400.0,67600.0,66400.0,67100.0,4941500,3.0
2024-05-21,58560.96484375,66200.0,66600.0,65800.0,66400.0,3821200,1.0
2024-05-22,58207.12109375,65800.0,66700.0,65800.0,66400.0,3728300,1.0
2024-05-23,59268.6484375,67000.0,67000.0,65800.0,66000.0,2991400,1.0
2024-05-24,58384.04296875,66000.0,66900.0,65700.0,66700.0,4194100,1.0
2024-05-27,58472.50390625,66100.0,66600.0,65800.0,66100.0,2426600,3.0
2024-05-28,59091.7265625,66800.0,67300.0,66100.0,66300.0,5787500,1.0
2024-05-29,58649.42578125,66300.0,67300.0,66000.0,67000.0,3644200,1.0
2024-05-30,58118.65625,65700.0,66200.0,65500.0,66100.0,4502600,1.0
2024-05-31,57853.2734375,65400.0,65900.0,65300.0,65900.0,4165400,1.0
2024-06-03,58472.50390625,66100.0,66600.0,65700.0,65800.0,3302200,3.0
2024-06-04,58384.04296875,66000.0,66600.0,66000.0,66100.0,3755800,1.0
2024-06-05,60595.55859375,68500.0,69200.0,66200.0,66200.0,11865800,1.0
2024-06-06,59445.56640625,67200.0,69000.0,67200.0,69000.0,4907800,1.0
2024-06-07,59976.33203125,67800.0,68600.0,67500.0,67600.0,4127600,1.0
2024-06-10,59445.56640625,67200.0,68500.0,67200.0,68400.0,4584100,3.0
2024-06-11,58826.34765625,66500.0,67500.0,66400.0,67400.0,6177000,1.0
2024-06-12,59268.6484375,67000.0,67300.0,66300.0,66500.0,3522696,1.0
2024-06-13,59180.18359375,66900.0,67400.0,66800.0,67000.0,4003600,1.0
2024-06-14,58560.96484375,66200.0,67300.0,66200.0,67000.0,4124200,1.0
2024-06-17,58384.04296875,66000.0,66600.0,66000.0,66300.0,3617600,3.0
2024-06-18,58295.58203125,65900.0,66500.0,65900.0,66500.0,2751700,1.0
